INFO:root:Number of parameters: 369498
INFO:root:119: Acc-tr: 100.00, Acc-val:  25.00, L-tr: 0.0006, L-val: 4.0905
INFO:root:120: Acc-tr: 100.00, Acc-val:  25.00, L-tr: 0.0006, L-val: 4.0903
INFO:root:121: Acc-tr: 100.00, Acc-val:  25.00, L-tr: 0.0006, L-val: 4.0902
INFO:root:122: Acc-tr: 100.00, Acc-val:  25.00, L-tr: 0.0006, L-val: 4.0901
INFO:root:123: Acc-tr: 100.00, Acc-val:  25.00, L-tr: 0.0006, L-val: 4.0901
INFO:root:124: Acc-tr: 100.00, Acc-val:  25.00, L-tr: 0.0006, L-val: 4.0901
INFO:root:125: Acc-tr: 100.00, Acc-val:  25.00, L-tr: 0.0006, L-val: 4.0902
INFO:root:126: Acc-tr: 100.00, Acc-val:  25.00, L-tr: 0.0006, L-val: 4.0903
INFO:root:127: Acc-tr: 100.00, Acc-val:  25.78, L-tr: 0.0006, L-val: 4.0904
INFO:root:128: Acc-tr: 100.00, Acc-val:  25.78, L-tr: 0.0006, L-val: 4.0906
INFO:root:129: Acc-tr: 100.00, Acc-val:  25.78, L-tr: 0.0006, L-val: 4.0908
INFO:root:130: Acc-tr: 100.00, Acc-val:  25.78, L-tr: 0.0006, L-val: 4.0910
INFO:root:131: Acc-tr: 100.00, Acc-val:  25.78, L-tr: 0.0006, L-val: 4.0913
INFO:root:132: Acc-tr: 100.00, Acc-val:  25.78, L-tr: 0.0006, L-val: 4.0915
INFO:root:133: Acc-tr: 100.00, Acc-val:  25.78, L-tr: 0.0006, L-val: 4.0918
INFO:root:134: Acc-tr: 100.00, Acc-val:  25.78, L-tr: 0.0006, L-val: 4.0921
INFO:root:135: Acc-tr: 100.00, Acc-val:  25.78, L-tr: 0.0006, L-val: 4.0923
INFO:root:136: Acc-tr: 100.00, Acc-val:  25.78, L-tr: 0.0006, L-val: 4.0926
INFO:root:137: Acc-tr: 100.00, Acc-val:  25.78, L-tr: 0.0006, L-val: 4.0928
INFO:root:138: Acc-tr: 100.00, Acc-val:  25.78, L-tr: 0.0006, L-val: 4.0930
INFO:root:139: Acc-tr: 100.00, Acc-val:  25.78, L-tr: 0.0006, L-val: 4.0932
