INFO:root:Number of parameters: 369498
INFO:root:186: Acc-tr: 100.00, Acc-val:  10.26, L-tr: 0.0012, L-val: 8.0621
INFO:root:187: Acc-tr: 100.00, Acc-val:  10.30, L-tr: 0.0012, L-val: 8.0471
INFO:root:188: Acc-tr: 100.00, Acc-val:  10.24, L-tr: 0.0012, L-val: 8.0861
INFO:root:189: Acc-tr: 100.00, Acc-val:  10.40, L-tr: 0.0013, L-val: 8.0273
INFO:root:190: Acc-tr: 100.00, Acc-val:  10.71, L-tr: 0.0014, L-val: 8.0023
INFO:root:191: Acc-tr: 100.00, Acc-val:  10.44, L-tr: 0.0012, L-val: 8.0559
INFO:root:192: Acc-tr: 100.00, Acc-val:  10.47, L-tr: 0.0013, L-val: 8.0203
INFO:root:193: Acc-tr: 100.00, Acc-val:  10.41, L-tr: 0.0011, L-val: 8.0596
INFO:root:194: Acc-tr: 100.00, Acc-val:  10.64, L-tr: 0.0011, L-val: 8.0137
INFO:root:195: Acc-tr: 100.00, Acc-val:  10.39, L-tr: 0.0011, L-val: 8.0299
INFO:root:196: Acc-tr: 100.00, Acc-val:  10.40, L-tr: 0.0011, L-val: 8.0807
INFO:root:197: Acc-tr: 100.00, Acc-val:  10.19, L-tr: 0.0010, L-val: 8.0528
INFO:root:198: Acc-tr: 100.00, Acc-val:  10.44, L-tr: 0.0011, L-val: 8.0507
INFO:root:199: Acc-tr: 100.00, Acc-val:  10.42, L-tr: 0.0013, L-val: 8.0552
INFO:root:200: Acc-tr: 100.00, Acc-val:  10.28, L-tr: 0.0011, L-val: 8.0395
INFO:root:201: Acc-tr: 100.00, Acc-val:  10.32, L-tr: 0.0011, L-val: 8.0045
INFO:root:202: Acc-tr: 100.00, Acc-val:  10.13, L-tr: 0.0010, L-val: 8.0315
INFO:root:203: Acc-tr: 100.00, Acc-val:  10.41, L-tr: 0.0011, L-val: 8.0025
INFO:root:204: Acc-tr: 100.00, Acc-val:  10.42, L-tr: 0.0010, L-val: 8.0015
INFO:root:205: Acc-tr: 100.00, Acc-val:  10.19, L-tr: 0.0010, L-val: 8.0135
INFO:root:206: Acc-tr: 100.00, Acc-val:  10.52, L-tr: 0.0011, L-val: 7.9674
INFO:root:207: Acc-tr: 100.00, Acc-val:  10.43, L-tr: 0.0009, L-val: 8.0046
INFO:root:208: Acc-tr: 100.00, Acc-val:  10.18, L-tr: 0.0009, L-val: 8.0377
